OP("/NM0" "cdd") X,OP("/NM0" "cdd") Y
0,1.323644146609269e-14
0.01010101,1.323644146699778e-14
0.02020202,1.323644146823348e-14
0.03030303,1.323644146992056e-14
0.04040404,1.32364414722239e-14
0.05050505,1.323644147536861e-14
0.06060606,1.323644147966203e-14
0.07070707,1.323644148552376e-14
0.08080808,1.323644149352668e-14
0.09090909,1.323644150445289e-14
0.1010101,1.323644151937022e-14
0.1111111,1.323644153973651e-14
0.1212121,1.323644156754211e-14
0.1313131,1.323644160550435e-14
0.1414141,1.323644165733308e-14
0.1515152,1.323644172809315e-14
0.1616162,1.323644182469926e-14
0.1717172,1.32364419565915e-14
0.1818182,1.32364421366575e-14
0.1919192,1.323644238249127e-14
0.2020202,1.323644271811129e-14
0.2121212,1.323644317630562e-14
0.2222222,1.323644380183219e-14
0.2323232,1.323644465578569e-14
0.2424242,1.32364458215553e-14
0.2525253,1.323644741295069e-14
0.2626263,1.323644958528175e-14
0.2727273,1.323645255045904e-14
0.2828283,1.323645659756125e-14
0.2929293,1.323646212082548e-14
0.3030303,1.32364696576957e-14
0.3131313,1.323647994046255e-14
0.3232323,1.323649396619884e-14
0.3333333,1.323651309119365e-14
0.3434343,1.323653915795086e-14
0.3535354,1.323657466503027e-14
0.3636364,1.323662299243887e-14
0.3737374,1.323668869755865e-14
0.3838384,1.323677789792492e-14
0.3939394,1.323689875602511e-14
0.4040404,1.323706207505457e-14
0.4141414,1.323728199924172e-14
0.4242424,1.323757678274691e-14
0.4343434,1.323796954248583e-14
0.4444444,1.323848884259773e-14
0.4545455,1.323916888469684e-14
0.4646465,1.324004903398206e-14
0.4747475,1.324117245545844e-14
0.4848485,1.324258382359058e-14
0.4949495,1.324432639802772e-14
0.5050505,1.324643910465868e-14
0.5151515,1.324895441175192e-14
0.5252525,1.325189759317468e-14
0.5353535,1.325528749332986e-14
0.5454545,1.325913841848693e-14
0.5555556,1.326346252977634e-14
0.5656566,1.326827216212029e-14
0.5757576,1.327358171882991e-14
0.5858586,1.327940903274609e-14
0.5959596,1.328577624802419e-14
0.6060605999999999,1.329271034798685e-14
0.6161616,1.330024346163639e-14
0.6262626,1.330841305787979e-14
0.6363636,1.331726210538413e-14
0.6464645999999999,1.33268392485842e-14
0.6565657,1.333719903022081e-14
0.6666666999999999,1.334840217758639e-14
0.6767677,1.336051596179058e-14
0.6868687,1.337361463514713e-14
0.6969697,1.338777994988094e-14
0.7070707000000001,1.340310176081912e-14
0.7171717,1.341967871495122e-14
0.7272727,1.343761903134311e-14
0.7373737,1.345704137563868e-14
0.7474747,1.347807583414909e-14
0.7575758,1.350086499322581e-14
0.7676768,1.352556513018408e-14
0.7777778,1.35523475224373e-14
0.7878788,1.358139988167202e-14
0.7979798,1.36129279197777e-14
0.8080808,1.364715705277538e-14
0.8181818,1.368433424807579e-14
0.8282828,1.372473001893132e-14
0.8383838,1.376864056779704e-14
0.8484848,1.381639007732472e-14
0.8585859,1.386833314369897e-14
0.8686869,1.392485734177265e-14
0.8787879,1.398638590473709e-14
0.8888889,1.405338049261311e-14
0.8989899,1.412634401340727e-14
0.9090909,1.42058234480815e-14
0.9191919,1.429241261530058e-14
0.9292929,1.438675479407665e-14
0.9393939,1.44895451018564e-14
0.9494949,1.460153250238965e-14
0.959596,1.472352129221378e-14
0.969697,1.485637188744238e-14
0.9797979999999999,1.500100070484262e-14
0.989899,1.515837890453107e-14
1,1.532952973823792e-14
