OP("/NM2" "cdd") X,OP("/NM2" "cdd") Y
0,1.323598142196531e-14
0.01010101,1.323598142206371e-14
0.02020202,1.323598142219507e-14
0.03030303,1.323598142237038e-14
0.04040404,1.323598142260439e-14
0.05050505,1.323598142291673e-14
0.06060606,1.323598142333363e-14
0.07070707,1.323598142389008e-14
0.08080808,1.32359814246328e-14
0.09090909,1.323598142562414e-14
0.1010101,1.323598142694731e-14
0.1111111,1.323598142871339e-14
0.1212121,1.323598143107059e-14
0.1313131,1.323598143421677e-14
0.1414141,1.323598143841597e-14
0.1515152,1.323598144402059e-14
0.1616162,1.32359814515009e-14
0.1717172,1.323598146148454e-14
0.1818182,1.323598147480908e-14
0.1919192,1.32359814925922e-14
0.2020202,1.323598151632539e-14
0.2121212,1.323598154799878e-14
0.2222222,1.323598159026784e-14
0.2323232,1.323598164667552e-14
0.2424242,1.323598172194858e-14
0.2525253,1.323598182239272e-14
0.2626263,1.323598195641922e-14
0.2727273,1.323598213524696e-14
0.2828283,1.323598237383782e-14
0.2929293,1.323598269214273e-14
0.3030303,1.323598311676102e-14
0.3131313,1.323598368314904e-14
0.3232323,1.323598443855848e-14
0.3333333,1.323598544594241e-14
0.3434343,1.323598678914357e-14
0.3535354,1.323598857977718e-14
0.3636364,1.323599096634801e-14
0.3737374,1.323599414630158e-14
0.3838384,1.323599838190979e-14
0.3939394,1.323600402113195e-14
0.4040404,1.323601152487069e-14
0.4141414,1.323602150233638e-14
0.4242424,1.323603475650032e-14
0.4343434,1.323605234175931e-14
0.4444444,1.323607563578637e-14
0.4545455,1.323610642681932e-14
0.4646465,1.323614701591465e-14
0.4747475,1.323620033039295e-14
0.4848485,1.323627003920645e-14
0.4949495,1.323636065292575e-14
0.5050505,1.32364775810694e-14
0.5151515,1.323662711013533e-14
0.5252525,1.323681626233068e-14
0.5353535,1.3237052505398e-14
0.5454545,1.323734331459088e-14
0.5555556,1.323769563686908e-14
0.5656566,1.323811535817472e-14
0.5757576,1.323860689918308e-14
0.5858586,1.323917304105205e-14
0.5959596,1.323981501459056e-14
0.6060605999999999,1.324053280666491e-14
0.6161616,1.324132558537457e-14
0.6262626,1.324219213853782e-14
0.6363636,1.324313124859303e-14
0.6464645999999999,1.324414196791314e-14
0.6565657,1.324522379259178e-14
0.6666666999999999,1.324637675233156e-14
0.6767677,1.32476014405609e-14
0.6868687,1.324889900730974e-14
0.6969697,1.325027113235538e-14
0.7070707000000001,1.325171999066732e-14
0.7171717,1.325324821759811e-14
0.7272727,1.325485887794607e-14
0.7373737,1.325655544083372e-14
0.7474747,1.325834176102714e-14
0.7575758,1.326022206659449e-14
0.7676768,1.326220095244813e-14
0.7777778,1.326428337918461e-14
0.7878788,1.326647467662884e-14
0.7979798,1.326878055154318e-14
0.8080808,1.327120709904244e-14
0.8181818,1.327376081734243e-14
0.8282828,1.327644862555244e-14
0.8383838,1.327927788429636e-14
0.8484848,1.328225641901197e-14
0.8585859,1.328539254583251e-14
0.8686869,1.328869510000116e-14
0.8787879,1.329217346680717e-14
0.8888889,1.329583761506518e-14
0.8989899,1.329969813318502e-14
0.9090909,1.330376626790236e-14
0.9191919,1.330805396575834e-14
0.9292929,1.331257391743178e-14
0.9393939,1.331733960503969e-14
0.9494949,1.332236535253171e-14
0.959596,1.332766637931121e-14
0.969697,1.333325885722082e-14
0.9797979999999999,1.333915997103251e-14
0.989899,1.334538798258207e-14
1,1.335196229868481e-14
