OP("/PM2" "cdd") X,OP("/PM2" "cdd") Y
0,1.463685190994891e-14
0.01010101,1.463685191004558e-14
0.02020202,1.463685191017675e-14
0.03030303,1.463685191035477e-14
0.04040404,1.463685191059636e-14
0.05050505,1.463685191092421e-14
0.06060606,1.463685191136913e-14
0.07070707,1.463685191197292e-14
0.08080808,1.463685191279231e-14
0.09090909,1.463685191390428e-14
0.1010101,1.46368519154133e-14
0.1111111,1.463685191746115e-14
0.1212121,1.463685192024021e-14
0.1313131,1.463685192401157e-14
0.1414141,1.463685192912953e-14
0.1515152,1.463685193607488e-14
0.1616162,1.463685194550005e-14
0.1717172,1.46368519582904e-14
0.1818182,1.463685197564733e-14
0.1919192,1.46368519992011e-14
0.2020202,1.463685203116389e-14
0.2121212,1.463685207453735e-14
0.2222222,1.46368521333944e-14
0.2323232,1.463685221326123e-14
0.2424242,1.463685232163562e-14
0.2525253,1.463685246868975e-14
0.2626263,1.463685266822333e-14
0.2727273,1.463685293895558e-14
0.2828283,1.46368533062763e-14
0.2929293,1.463685380461823e-14
0.3030303,1.463685448066928e-14
0.3131313,1.46368553977194e-14
0.3232323,1.463685664153721e-14
0.3333333,1.463685832830516e-14
0.3434343,1.463686061531635e-14
0.3535354,1.463686371536129e-14
0.3636364,1.463686791601741e-14
0.3737374,1.46368736054021e-14
0.3838384,1.463688130635409e-14
0.3939394,1.463689172143708e-14
0.4040404,1.46369057915324e-14
0.4141414,1.463692477094097e-14
0.4242424,1.463695032154219e-14
0.4343434,1.463698462714345e-14
0.4444444,1.463703052592058e-14
0.4545455,1.463709165278885e-14
0.4646465,1.4637172573721e-14
0.4747475,1.463727888039524e-14
0.4848485,1.463741719849468e-14
0.4949495,1.463759505324586e-14
0.5050505,1.463782054310215e-14
0.5151515,1.463810180942459e-14
0.5252525,1.463844635871801e-14
0.5353535,1.463886037274671e-14
0.5454545,1.463934818579922e-14
0.5555556,1.463991207719753e-14
0.5656566,1.464055242402473e-14
0.5757576,1.46412681382934e-14
0.5858586,1.464205723928144e-14
0.5959596,1.464291741172312e-14
0.6060605999999999,1.464384645219366e-14
0.6161616,1.46448425690088e-14
0.6262626,1.464590454697954e-14
0.6363636,1.464703181001551e-14
0.6464645999999999,1.46482244177226e-14
0.6565657,1.464948302585118e-14
0.6666666999999999,1.465080883154145e-14
0.6767677,1.465220351632093e-14
0.6868687,1.465366919390633e-14
0.6969697,1.465520836600665e-14
0.7070707000000001,1.46568238870433e-14
0.7171717,1.465851893748836e-14
0.7272727,1.466029700496447e-14
0.7373737,1.466216187207033e-14
0.7474747,1.466411760991248e-14
0.7575758,1.466616857643407e-14
0.7676768,1.466831941877223e-14
0.7777778,1.467057507901985e-14
0.7878788,1.467294080289785e-14
0.7979798,1.467542215095745e-14
0.8080808,1.467802497377347e-14
0.8181818,1.468075561868899e-14
0.8282828,1.468362056465496e-14
0.8383838,1.468662682392307e-14
0.8484848,1.468978177167794e-14
0.8585859,1.469309320690258e-14
0.8686869,1.46965693767065e-14
0.8787879,1.470021900239353e-14
0.8888889,1.470405130730958e-14
0.8989899,1.47080760465247e-14
0.9090909,1.471230353841473e-14
0.9191919,1.471674469821699e-14
0.9292929,1.472141107364194e-14
0.9393939,1.472631488262833e-14
0.9494949,1.473146905333395e-14
0.959596,1.473688726645703e-14
0.969697,1.474258399998528e-14
0.9797979999999999,1.47485745764695e-14
0.989899,1.47548752129179e-14
1,1.476150307340416e-14
