OP("/NM0" "cgd") X,OP("/NM0" "cgd") Y
0,-3.688368112074018e-15
0.01010101,-3.688389878292675e-15
0.02020202,-3.688411307942163e-15
0.03030303,-3.688432409428953e-15
0.04040404,-3.688453190863189e-15
0.05050505,-3.688473660066257e-15
0.06060606,-3.688493824576219e-15
0.07070707,-3.688513691650516e-15
0.08080808,-3.688533268265193e-15
0.09090909,-3.688552561109549e-15
0.1010101,-3.688571576574724e-15
0.1111111,-3.688590320734152e-15
0.1212121,-3.688608799313057e-15
0.1313131,-3.688627017643087e-15
0.1414141,-3.688644980596733e-15
0.1515152,-3.688662692494195e-15
0.1616162,-3.688680156972637e-15
0.1717172,-3.688697376804017e-15
0.1818182,-3.688714353642636e-15
0.1919192,-3.688731087676537e-15
0.2020202,-3.688747577147456e-15
0.2121212,-3.688763817691077e-15
0.2222222,-3.688779801431861e-15
0.2323232,-3.688795515742983e-15
0.2424242,-3.688810941550104e-15
0.2525253,-3.688826051015021e-15
0.2626263,-3.688840804379027e-15
0.2727273,-3.688855145672338e-15
0.2828283,-3.688868996902487e-15
0.2929293,-3.688882250219403e-15
0.3030303,-3.688894757421137e-15
0.3131313,-3.688906316024865e-15
0.3232323,-3.688916651017264e-15
0.3333333,-3.688925391391935e-15
0.3434343,-3.688932040831869e-15
0.3535354,-3.688935942692069e-15
0.3636364,-3.688936241305701e-15
0.3737374,-3.688931845472008e-15
0.3838384,-3.688921407210177e-15
0.3939394,-3.688903341508408e-15
0.4040404,-3.688875933196438e-15
0.4141414,-3.688837606546973e-15
0.4242424,-3.688787468629823e-15
0.4343434,-3.68872626448179e-15
0.4444444,-3.688657866293726e-15
0.4545455,-3.688591302175226e-15
0.4646465,-3.688543054844629e-15
0.4747475,-3.688538943485972e-15
0.4848485,-3.688614539850668e-15
0.4949495,-3.688813146274278e-15
0.5050505,-3.689181177873836e-15
0.5151515,-3.68976210011261e-15
0.5252525,-3.69059100870249e-15
0.5353535,-3.691691713303803e-15
0.5454545,-3.693076929169571e-15
0.5555556,-3.694750832784161e-15
0.5656566,-3.696712614611527e-15
0.5757576,-3.698959844702243e-15
0.5858586,-3.701491024444417e-15
0.5959596,-3.704307205518279e-15
0.6060605999999999,-3.707412841521973e-15
0.6161616,-3.710816122713732e-15
0.6262626,-3.714529018587633e-15
0.6363636,-3.718567190108172e-15
0.6464645999999999,-3.722949872576561e-15
0.6565657,-3.727699784845242e-15
0.6666666999999999,-3.732843091554362e-15
0.6767677,-3.738409428404596e-15
0.6868687,-3.74443199196225e-15
0.6969697,-3.75094769181821e-15
0.7070707000000001,-3.757997361895797e-15
0.7171717,-3.765626027992785e-15
0.7272727,-3.773883229496505e-15
0.7373737,-3.782823394229009e-15
0.7474747,-3.792506266363487e-15
0.7575758,-3.802997388213617e-15
0.7676768,-3.81436863739731e-15
0.7777778,-3.82669882140122e-15
0.7878788,-3.840074331913821e-15
0.7979798,-3.854589861441961e-15
0.8080808,-3.870349184659299e-15
0.8181818,-3.887466006626313e-15
0.8282828,-3.906064879429562e-15
0.8383838,-3.92628218785949e-15
0.8484848,-3.948267203414128e-15
0.8585859,-3.972183204100436e-15
0.8686869,-3.998208655111334e-15
0.8787879,-4.026538442379243e-15
0.8888889,-4.057385147129375e-15
0.8989899,-4.090980344757669e-15
0.9090909,-4.127575905519036e-15
0.9191919,-4.167445267525094e-15
0.9292929,-4.210884644337149e-15
0.9393939,-4.258214119969217e-15
0.9494949,-4.309778573432018e-15
0.959596,-4.365948363205937e-15
0.969697,-4.42711968953226e-15
0.9797979999999999,-4.493714539655661e-15
0.989899,-4.566180108877742e-15
1,-4.644987579515962e-15
