OP("/NM2" "cgd") X,OP("/NM2" "cgd") Y
0,-3.677123733720122e-15
0.01010101,-3.677186237142886e-15
0.02020202,-3.677247983395492e-15
0.03030303,-3.677308987374108e-15
0.04040404,-3.677369263540551e-15
0.05050505,-3.677428825925366e-15
0.06060606,-3.677487688126866e-15
0.07070707,-3.677545863304996e-15
0.08080808,-3.677603364168428e-15
0.09090909,-3.677660202952819e-15
0.1010101,-3.677716391387404e-15
0.1111111,-3.677771940646156e-15
0.1212121,-3.677826861278478e-15
0.1313131,-3.677881163112668e-15
0.1414141,-3.677934855123114e-15
0.1515152,-3.677987945249146e-15
0.1616162,-3.678040440149357e-15
0.1717172,-3.678092344869784e-15
0.1818182,-3.678143662397042e-15
0.1919192,-3.678194393057741e-15
0.2020202,-3.678244533712568e-15
0.2121212,-3.678294076675964e-15
0.2222222,-3.678343008269204e-15
0.2323232,-3.678391306883702e-15
0.2424242,-3.678438940390104e-15
0.2525253,-3.678485862673774e-15
0.2626263,-3.678532009004126e-15
0.2727273,-3.678577289848086e-15
0.2828283,-3.678621582609209e-15
0.2929293,-3.678664720603739e-15
0.3030303,-3.678706478360936e-15
0.3131313,-3.678746552041715e-15
0.3232323,-3.678784533388752e-15
0.3333333,-3.678819875131648e-15
0.3434343,-3.678851845150969e-15
0.3535354,-3.678879465937819e-15
0.3636364,-3.678901434967493e-15
0.3737374,-3.678916020566371e-15
0.3838384,-3.678920926787268e-15
0.3939394,-3.678913119944939e-15
0.4040404,-3.678888609254337e-15
0.4141414,-3.678842175303054e-15
0.4242424,-3.678767044342299e-15
0.4343434,-3.678654515982746e-15
0.4444444,-3.678493570404676e-15
0.4545455,-3.678270513359205e-15
0.4646465,-3.677968767932284e-15
0.4747475,-3.677568993142108e-15
0.4848485,-3.67704979275474e-15
0.4949495,-3.67638934299966e-15
0.5050505,-3.675568249334572e-15
0.5151515,-3.674573738021446e-15
0.5252525,-3.673404801778164e-15
0.5353535,-3.672077172080803e-15
0.5454545,-3.670626272178058e-15
0.5555556,-3.669106187099471e-15
0.5656566,-3.667583693342731e-15
0.5757576,-3.666128383891225e-15
0.5858586,-3.664801835107036e-15
0.5959596,-3.663649272970479e-15
0.6060605999999999,-3.662695922955326e-15
0.6161616,-3.661948097816885e-15
0.6262626,-3.661397442628535e-15
0.6363636,-3.661026291966996e-15
0.6464645999999999,-3.66081256766169e-15
0.6565657,-3.660733441297948e-15
0.6666666999999999,-3.660767639054395e-15
0.6767677,-3.660896622512005e-15
0.6868687,-3.661104987284811e-15
0.6969697,-3.661380390835721e-15
0.7070707000000001,-3.66171324024746e-15
0.7171717,-3.662096289205846e-15
0.7272727,-3.662524229970603e-15
0.7373737,-3.662993323253408e-15
0.7474747,-3.663501082849269e-15
0.7575758,-3.66404601746744e-15
0.7676768,-3.664627425153905e-15
0.7777778,-3.665245232908298e-15
0.7878788,-3.665899873592652e-15
0.7979798,-3.666592192822101e-15
0.8080808,-3.667323379553865e-15
0.8181818,-3.66809491520299e-15
0.8282828,-3.668908537146589e-15
0.8383838,-3.669766213368507e-15
0.8484848,-3.670670125729964e-15
0.8585859,-3.671622659940028e-15
0.8686869,-3.672626400762721e-15
0.8787879,-3.673684131357337e-15
0.8888889,-3.674798835925796e-15
0.8989899,-3.675973705053006e-15
0.9090909,-3.677212143288016e-15
0.9191919,-3.678517778636646e-15
0.9292929,-3.679894473729466e-15
0.9393939,-3.681346338499468e-15
0.9494949,-3.682877744256961e-15
0.959596,-3.684493339089142e-15
0.969697,-3.686198064541639e-15
0.9797979999999999,-3.687997173561311e-15
0.989899,-3.689896249695448e-15
1,-3.691901227553516e-15
