OP("/PM2" "cgd") X,OP("/PM2" "cgd") Y
0,-3.271285231202955e-15
0.01010101,-3.271376465408198e-15
0.02020202,-3.271466370990853e-15
0.03030303,-3.271554979207908e-15
0.04040404,-3.271642320247509e-15
0.05050505,-3.271728423245527e-15
0.06060606,-3.271813316292052e-15
0.07070707,-3.271897026424935e-15
0.08080808,-3.271979579606427e-15
0.09090909,-3.272061000677501e-15
0.1010101,-3.272141313282476e-15
0.1111111,-3.27222053975387e-15
0.1212121,-3.272298700943759e-15
0.1313131,-3.272375815982962e-15
0.1414141,-3.272451901942655e-15
0.1515152,-3.272526973363834e-15
0.1616162,-3.272601041607655e-15
0.1717172,-3.272674113962767e-15
0.1818182,-3.272746192422846e-15
0.1919192,-3.272817272016374e-15
0.2020202,-3.272887338528476e-15
0.2121212,-3.272956365397239e-15
0.2222222,-3.273024309489189e-15
0.2323232,-3.273091105353191e-15
0.2424242,-3.273156657409385e-15
0.2525253,-3.273220829336886e-15
0.2626263,-3.273283429663853e-15
0.2727273,-3.273344192213387e-15
0.2828283,-3.273402749589421e-15
0.2929293,-3.273458597260798e-15
0.3030303,-3.273511044972646e-15
0.3131313,-3.273559151127257e-15
0.3232323,-3.273601634372097e-15
0.3333333,-3.273636754855994e-15
0.3434343,-3.273662155440355e-15
0.3535354,-3.273674650630655e-15
0.3636364,-3.273669948342725e-15
0.3737374,-3.273642287390746e-15
0.3838384,-3.273583972955538e-15
0.3939394,-3.273484795534243e-15
0.4040404,-3.273331330056302e-15
0.4141414,-3.273106137740526e-15
0.4242424,-3.272786944076975e-15
0.4343434,-3.272345955268253e-15
0.4444444,-3.271749614689299e-15
0.4545455,-3.270959289171055e-15
0.4646465,-3.26993357149562e-15
0.4747475,-3.268632970559385e-15
0.4848485,-3.267027505273345e-15
0.4949495,-3.265106835261444e-15
0.5050505,-3.262890942925646e-15
0.5151515,-3.260437523578566e-15
0.5252525,-3.257841485161193e-15
0.5353535,-3.255223836901771e-15
0.5454545,-3.252711795195919e-15
0.5555556,-3.250416616292036e-15
0.5656566,-3.24841698400371e-15
0.5757576,-3.246752658433292e-15
0.5858586,-3.245428014790816e-15
0.5959596,-3.244421540907465e-15
0.6060605999999999,-3.243696757962761e-15
0.6161616,-3.243211472505052e-15
0.6262626,-3.242924146307954e-15
0.6363636,-3.242797492824988e-15
0.6464645999999999,-3.242799992829993e-15
0.6565657,-3.242906096675254e-15
0.6666666999999999,-3.243095725253318e-15
0.6767677,-3.243353478243814e-15
0.6868687,-3.243667787692791e-15
0.6969697,-3.244030137191758e-15
0.7070707000000001,-3.244434395201111e-15
0.7171717,-3.244876271869918e-15
0.7272727,-3.245352889833555e-15
0.7373737,-3.245862452172761e-15
0.7474747,-3.246403989440776e-15
0.7575758,-3.246977169170633e-15
0.7676768,-3.247582153805274e-15
0.7777778,-3.248219495668584e-15
0.7878788,-3.248890060023649e-15
0.7979798,-3.249594969308865e-15
0.8080808,-3.250335563299067e-15
0.8181818,-3.251113371163811e-15
0.8282828,-3.251930092628816e-15
0.8383838,-3.252787585728949e-15
0.8484848,-3.253687859807782e-15
0.8585859,-3.25463307237207e-15
0.8686869,-3.255625528967844e-15
0.8787879,-3.256667685415527e-15
0.8888889,-3.257762151927406e-15
0.8989899,-3.258911698762453e-15
0.9090909,-3.260119263171197e-15
0.9191919,-3.261387957455722e-15
0.9292929,-3.26272107802348e-15
0.9393939,-3.264122115353331e-15
0.9494949,-3.265594764821459e-15
0.959596,-3.267142938356443e-15
0.969697,-3.268770776908451e-15
0.9797979999999999,-3.270482663728855e-15
0.989899,-3.272283238464557e-15
1,-3.274177412076519e-15
