OP("/NM0" "cgg") X,OP("/NM0" "cgg") Y
0,2.544830953995494e-14
0.01010101,2.535383282215784e-14
0.02020202,2.526081346645826e-14
0.03030303,2.51692157589574e-14
0.04040404,2.507900531044326e-14
0.05050505,2.499014905493676e-14
0.06060606,2.490261526786069e-14
0.07070707,2.4816373610094e-14
0.08080808,2.473139520652644e-14
0.09090909,2.464765277094252e-14
0.1010101,2.456512079345627e-14
0.1111111,2.448377581272257e-14
0.1212121,2.440359680335632e-14
0.1313131,2.432456572020875e-14
0.1414141,2.424666825647997e-14
0.1515152,2.416989489359876e-14
0.1616162,2.409424234942645e-14
0.1717172,2.401971557044396e-14
0.1818182,2.394633046697471e-14
0.1919192,2.387411766336311e-14
0.2020202,2.380312763440506e-14
0.2121212,2.373343773472523e-14
0.2222222,2.366516181202744e-14
0.2323232,2.359846334536985e-14
0.2424242,2.353357338862366e-14
0.2525253,2.347081505698097e-14
0.2626263,2.341063690936598e-14
0.2727273,2.335365840036417e-14
0.2828283,2.330073166018554e-14
0.2929293,2.325302527548102e-14
0.3030303,2.321213755012267e-14
0.3131313,2.318024896044861e-14
0.3232323,2.316032614757683e-14
0.3333333,2.315639260588707e-14
0.3434343,2.317388368394242e-14
0.3535354,2.322010441139803e-14
0.3636364,2.330480563692431e-14
0.3737374,2.344088270126467e-14
0.3838384,2.36451741296859e-14
0.3939394,2.393928457338808e-14
0.4040404,2.435026214985978e-14
0.4141414,2.491081261474473e-14
0.4242424,2.565853445494551e-14
0.4343434,2.663345904501469e-14
0.4444444,2.78731181490198e-14
0.4545455,2.940469554046615e-14
0.4646465,3.123485008591118e-14
0.4747475,3.333956629554625e-14
0.4848485,3.565820487180982e-14
0.4949495,3.809622983112046e-14
0.5050505,4.053844131687925e-14
0.5151515,4.286953157301532e-14
0.5252525,4.499462924427338e-14
0.5353535,4.685251888134808e-14
0.5454545,4.841839268339284e-14
0.5555556,4.969797753350545e-14
0.5656566,5.071749092791018e-14
0.5757576,5.151356166107773e-14
0.5858586,5.21254464933968e-14
0.5959596,5.259012506190803e-14
0.6060605999999999,5.293983805443893e-14
0.6161616,5.320130322549104e-14
0.6262626,5.339590385740196e-14
0.6363636,5.354034047576351e-14
0.6464645999999999,5.364743160711666e-14
0.6565657,5.372689482534625e-14
0.6666666999999999,5.378603217857014e-14
0.6767677,5.383029681121516e-14
0.6868687,5.386374420436184e-14
0.6969697,5.388938277884672e-14
0.7070707000000001,5.390944176534046e-14
0.7171717,5.392557348890025e-14
0.7272727,5.393900488204418e-14
0.7373737,5.39506503229585e-14
0.7474747,5.39611953423544e-14
0.7575758,5.397115856183119e-14
0.7676768,5.398093745919102e-14
0.7777778,5.399084216886909e-14
0.7878788,5.400112045914899e-14
0.7979798,5.401197621934538e-14
0.8080808,5.40235831830884e-14
0.8181818,5.403609516105132e-14
0.8282828,5.40496537202296e-14
0.8383838,5.406439399790473e-14
0.8484848,5.408044915431134e-14
0.8585859,5.409795383186991e-14
0.8686869,5.411704688797417e-14
0.8787879,5.413787359329634e-14
0.8888889,5.41605874313806e-14
0.8989899,5.418535159274549e-14
0.9090909,5.421234022397455e-14
0.9191919,5.424173946652184e-14
0.9292929,5.42737482991384e-14
0.9393939,5.43085791804664e-14
0.9494949,5.434645847343546e-14
0.959596,5.438762661999307e-14
0.969697,5.443233802308955e-14
0.9797979999999999,5.448086058269274e-14
0.989899,5.453347482417514e-14
1,5.459047255120663e-14
