OP("/PM0" "cgg") X,OP("/PM0" "cgg") Y
0,2.539476666562232e-14
0.01010101,2.530603103430346e-14
0.02020202,2.521853952070068e-14
0.03030303,2.513226483411527e-14
0.04040404,2.504718082751295e-14
0.05050505,2.496326257503958e-14
0.06060606,2.488048649219464e-14
0.07070707,2.479883051415599e-14
0.08080808,2.471827435361552e-14
0.09090909,2.463879986755996e-14
0.1010101,2.456039157354415e-14
0.1111111,2.448303737129739e-14
0.1212121,2.440672954654855e-14
0.1313131,2.433146616290808e-14
0.1414141,2.425725298747054e-14
0.1515152,2.418410615055938e-14
0.1616162,2.41120558152968e-14
0.1717172,2.404115123605282e-14
0.1818182,2.397146772668907e-14
0.1919192,2.390311625396192e-14
0.2020202,2.383625663754738e-14
0.2121212,2.377111570146668e-14
0.2222222,2.370801221618517e-14
0.2323232,2.364739114072094e-14
0.2424242,2.358987057643984e-14
0.2525253,2.353630604861812e-14
0.2626263,2.348787831897215e-14
0.2727273,2.344621298450963e-14
0.2828283,2.341354269565295e-14
0.2929293,2.339292591599037e-14
0.3030303,2.338853955400548e-14
0.3131313,2.340606594942024e-14
0.3232323,2.345319627400955e-14
0.3333333,2.354026972666826e-14
0.3434343,2.368105595897501e-14
0.3535354,2.389365834448315e-14
0.3636364,2.420145458606119e-14
0.3737374,2.463388091039841e-14
0.3838384,2.522669013007159e-14
0.3939394,2.602107469138344e-14
0.4040404,2.706080387701896e-14
0.4141414,2.838645606367203e-14
0.4242424,3.002626026930851e-14
0.4343434,3.198436760049897e-14
0.4444444,3.422956121055271e-14
0.4545455,3.668951476260952e-14
0.4646465,3.925569898314656e-14
0.4747475,4.180030677873764e-14
0.4848485,4.420037451771861e-14
0.4949495,4.635997563197604e-14
0.5050505,4.822257151648155e-14
0.5151515,4.977126179429344e-14
0.5252525,5.102024507309236e-14
0.5353535,5.200295468267203e-14
0.5454545,5.276122729182807e-14
0.5555556,5.33375489691777e-14
0.5656566,5.377055931699492e-14
0.5757576,5.409308162826908e-14
0.5858586,5.433176238182008e-14
0.5959596,5.450756827167884e-14
0.6060605999999999,5.463663867939624e-14
0.6161616,5.473120494121118e-14
0.6262626,5.480043412843864e-14
0.6363636,5.485114245413711e-14
0.6464645999999999,5.488836979019517e-14
0.6565657,5.491582814926266e-14
0.6666666999999999,5.493624457021633e-14
0.6767677,5.495161955261311e-14
0.6868687,5.496341990887373e-14
0.6969697,5.497272167085936e-14
0.7070707000000001,5.498031546287669e-14
0.7171717,5.498678392951471e-14
0.7272727,5.499255849359353e-14
0.7373737,5.499796089727682e-14
0.7474747,5.50032335789949e-14
0.7575758,5.500856188010338e-14
0.7676768,5.501409028369455e-14
0.7777778,5.501993430082156e-14
0.7878788,5.502618918619466e-14
0.7979798,5.503293634702877e-14
0.8080808,5.504024807525658e-14
0.8181818,5.504819106338636e-14
0.8282828,5.505682903674008e-14
0.8383838,5.506622474926262e-14
0.8484848,5.507644151660281e-14
0.8585859,5.508754441711375e-14
0.8686869,5.50996012530565e-14
0.8787879,5.511268333897207e-14
0.8888889,5.512686616483e-14
0.8989899,5.51422299672533e-14
0.9090909,5.515886023136542e-14
0.9191919,5.517684813758568e-14
0.9292929,5.519629096126951e-14
0.9393939,5.521729242790878e-14
0.9494949,5.52399630222797e-14
0.959596,5.526442024617333e-14
0.969697,5.529078881597481e-14
0.9797979999999999,5.531920078824718e-14
0.989899,5.534979559856274e-14
1,5.538271999609649e-14
