OP("/PM2" "cgg") X,OP("/PM2" "cgg") Y
0,1.098217571822618e-14
0.01010101,1.096058858012288e-14
0.02020202,1.093931512546709e-14
0.03030303,1.091834805471656e-14
0.04040404,1.089768031369825e-14
0.05050505,1.08773050899183e-14
0.06060606,1.085721581114282e-14
0.07070707,1.083740614690356e-14
0.08080808,1.081787001382608e-14
0.09090909,1.079860158600768e-14
0.1010101,1.077959531212079e-14
0.1111111,1.076084594152613e-14
0.1212121,1.074234856250665e-14
0.1313131,1.072409865685727e-14
0.1414141,1.070609217659104e-14
0.1515152,1.068832565059675e-14
0.1616162,1.067079633189938e-14
0.1717172,1.065350240000202e-14
0.1818182,1.063644323798453e-14
0.1919192,1.061961981109128e-14
0.2020202,1.060303518311994e-14
0.2121212,1.058669521992076e-14
0.2222222,1.057060954694347e-14
0.2323232,1.055479285165482e-14
0.2424242,1.053926665398457e-14
0.2525253,1.052406171166797e-14
0.2626263,1.050922128632596e-14
0.2727273,1.049480557548215e-14
0.2828283,1.048089772211698e-14
0.2929293,1.046761195530523e-14
0.3030303,1.045510460352171e-14
0.3131313,1.044358896883562e-14
0.3232323,1.043335536911322e-14
0.3333333,1.042479805907088e-14
0.3434343,1.041845123584896e-14
0.3535354,1.041503691009218e-14
0.3636364,1.041552803137315e-14
0.3737374,1.042123077455843e-14
0.3838384,1.043389005929904e-14
0.3939394,1.045582168087145e-14
0.4040404,1.049007196648776e-14
0.4141414,1.054060012153093e-14
0.4242424,1.061246710345971e-14
0.4343434,1.071199498286608e-14
0.4444444,1.084682957272211e-14
0.4545455,1.102579684223116e-14
0.4646465,1.125839927179757e-14
0.4747475,1.15537785086448e-14
0.4848485,1.191902653132622e-14
0.4949495,1.235692334094317e-14
0.5050505,1.286353971506909e-14
0.5151515,1.342655923210617e-14
0.5252525,1.402534618357129e-14
0.5353535,1.463337330596887e-14
0.5454545,1.52226141226371e-14
0.5555556,1.576846125404019e-14
0.5656566,1.625343205500913e-14
0.5757576,1.666860974541135e-14
0.5858586,1.701289291847344e-14
0.5959596,1.72909184282827e-14
0.6060605999999999,1.751066040180736e-14
0.6161616,1.768139104253189e-14
0.6262626,1.781227394968819e-14
0.6363636,1.791156790144314e-14
0.6464645999999999,1.798628935377288e-14
0.6565657,1.804216484082113e-14
0.6666666999999999,1.808373844441096e-14
0.6767677,1.811454425942171e-14
0.6868687,1.813729134223114e-14
0.6969697,1.815403458614314e-14
0.7070707000000001,1.816632077909889e-14
0.7171717,1.817530774152398e-14
0.7272727,1.81818586055155e-14
0.7373737,1.818661490921727e-14
0.7474747,1.819005246584075e-14
0.7575758,1.819252363912027e-14
0.7676768,1.819428910324355e-14
0.7777778,1.819554157936049e-14
0.7878788,1.819642350900177e-14
0.7979798,1.819704017719325e-14
0.8080808,1.819746944011319e-14
0.8181818,1.819776890824343e-14
0.8282828,1.819798129266359e-14
0.8383838,1.819813830812913e-14
0.8484848,1.819826358762286e-14
0.8585859,1.819837482110068e-14
0.8686869,1.819848533580258e-14
0.8787879,1.819860526250777e-14
0.8888889,1.819874239637515e-14
0.8989899,1.819890283258872e-14
0.9090909,1.819909143601009e-14
0.9191919,1.819931218851439e-14
0.9292929,1.819956844622288e-14
0.9393939,1.819986313038683e-14
0.9494949,1.820019886943756e-14
0.959596,1.8200578105116e-14
0.969697,1.820100317220191e-14
0.9797979999999999,1.820147635886122e-14
0.989899,1.820199995278564e-14
1,1.820257627693881e-14
