OP("/NM1" "cgs") X,OP("/NM1" "cgs") Y
0,-3.407325193321652e-15
0.01010101,-3.408723994657472e-15
0.02020202,-3.410102773477426e-15
0.03030303,-3.411462210580092e-15
0.04040404,-3.412803038117927e-15
0.05050505,-3.414126064081855e-15
0.06060606,-3.41543220521828e-15
0.07070707,-3.416722531379987e-15
0.08080808,-3.417998325375819e-15
0.09090909,-3.419261163823627e-15
0.1010101,-3.420513026461002e-15
0.1111111,-3.421756444008373e-15
0.1212121,-3.422994698254195e-15
0.1313131,-3.424232092871901e-15
0.1414141,-3.425474320030921e-15
0.1515152,-3.42672895673308e-15
0.1616162,-3.428006136809093e-15
0.1717172,-3.429319460750351e-15
0.1818182,-3.43068722751943e-15
0.1919192,-3.432134102185209e-15
0.2020202,-3.433693373368611e-15
0.2121212,-3.435410008690036e-15
0.2222222,-3.437344789538589e-15
0.2323232,-3.439579905013015e-15
0.2424242,-3.442226517402044e-15
0.2525253,-3.445434989370136e-15
0.2626263,-3.449408700773215e-15
0.2727273,-3.454422699515099e-15
0.2828283,-3.460848849461274e-15
0.2929293,-3.469189687168443e-15
0.3030303,-3.480123909389398e-15
0.3131313,-3.494567315498636e-15
0.3232323,-3.51375414324754e-15
0.3333333,-3.539345052203751e-15
0.3434343,-3.573569447058938e-15
0.3535354,-3.619411171870277e-15
0.3636364,-3.680847358784419e-15
0.3737374,-3.763149418523899e-15
0.3838384,-3.873251057270945e-15
0.3939394,-4.020177807235514e-15
0.4040404,-4.215511193722375e-15
0.4141414,-4.473821864669187e-15
0.4242424,-4.812942685874999e-15
0.4343434,-5.253861542782394e-15
0.4444444,-5.819904900554182e-15
0.4545455,-6.534799551978723e-15
0.4646465,-7.419236390191755e-15
0.4747475,-8.485862400998058e-15
0.4848485,-9.733318964966733e-15
0.4949495,-1.114094292534905e-14
0.5050505,-1.266655198624326e-14
0.5151515,-1.424950437281744e-14
0.5252525,-1.581942238996004e-14
0.5353535,-1.730825579717252e-14
0.5454545,-1.866152185960628e-14
0.5555556,-1.984502681819427e-14
0.5656566,-2.084577147227621e-14
0.5757576,-2.166828175063474e-14
0.5858586,-2.232881359751735e-14
0.5959596,-2.284962313408675e-14
0.6060605999999999,-2.325452759675064e-14
0.6161616,-2.356606710709068e-14
0.6262626,-2.380403896304989e-14
0.6363636,-2.398499251242778e-14
0.6464645999999999,-2.412229633697084e-14
0.6565657,-2.422649035352082e-14
0.6666666999999999,-2.430574022608771e-14
0.6767677,-2.436629229778664e-14
0.6868687,-2.441288052636007e-14
0.6969697,-2.444906825179399e-14
0.7070707000000001,-2.447752417108386e-14
0.7171717,-2.45002394653327e-14
0.7272727,-2.451869560717593e-14
0.7373737,-2.453399243715869e-14
0.7474747,-2.454694504675156e-14
0.7575758,-2.455815659452805e-14
0.7676768,-2.45680727778212e-14
0.7777778,-2.457702244113474e-14
0.7878788,-2.458524777204493e-14
0.7979798,-2.459292671092769e-14
0.8080808,-2.460018955697885e-14
0.8181818,-2.460713125816792e-14
0.8282828,-2.46138204966927e-14
0.8383838,-2.462030639791687e-14
0.8484848,-2.462662347812633e-14
0.8585859,-2.463279528762987e-14
0.8686869,-2.463883708747248e-14
0.8787879,-2.464475781015961e-14
0.8888889,-2.465056148960222e-14
0.8989899,-2.465624829718809e-14
0.9090909,-2.466181528512533e-14
0.9191919,-2.466725691175184e-14
0.9292929,-2.467256540395175e-14
0.9393939,-2.467773099738077e-14
0.9494949,-2.468274208455135e-14
0.959596,-2.468758529298765e-14
0.969697,-2.469224550990387e-14
0.9797979999999999,-2.469670586565518e-14
0.989899,-2.470094768516362e-14
1,-2.470495041434399e-14
