OP("/NM1" "gds") X,OP("/NM1" "gds") Y
0,4.996284341594368e-12
0.01010101,6.757244860816885e-12
0.02020202,9.138314188232008e-12
0.03030303,1.235754513571432e-11
0.04040404,1.670948665364975e-11
0.05050505,2.259191767928529e-11
0.06060606,3.054186584086243e-11
0.07070707,4.128410277335426e-11
0.08080808,5.579638637891219e-11
0.09090909,7.539715293609695e-11
0.1010101,1.018632588233541e-10
0.1111111,1.375878741311255e-10
0.1212121,1.857919178840304e-10
0.1313131,2.508067214845372e-10
0.1414141,3.384511899643749e-10
0.1515152,4.565339336603197e-10
0.1616162,6.155200585108726e-10
0.1717172,8.294139759930254e-10
0.1818182,1.116924201710748e-09
0.1919192,1.502994127311656e-09
0.2020202,2.020804573485581e-09
0.2121212,2.714379782917127e-09
0.2222222,3.641958277516661e-09
0.2323232,4.880323026086559e-09
0.2424242,6.530320184783697e-09
0.2525253,8.723829732190072e-09
0.2626263,1.163248072955363e-08
0.2727273,1.547842333481654e-08
0.2828283,2.054747241147496e-08
0.2929293,2.72049162034405e-08
0.3030303,3.591423114311942e-08
0.3131313,4.725885563428556e-08
0.3232323,6.196705091840724e-08
0.3333333,8.093972067245485e-08
0.3434343,1.052808825820496e-07
0.3535354,1.363302959652526e-07
0.3636364,1.756975548978841e-07
0.3737374,2.252967464084777e-07
0.3838384,2.873805170157052e-07
0.3939394,3.645720403032641e-07
0.4040404,4.598928916527823e-07
0.4141414,5.767842196161167e-07
0.4242424,7.191179570792365e-07
0.4343434,8.911943584222641e-07
0.4444444,1.097722189170353e-06
0.4545455,1.343778730858664e-06
0.4646465,1.634748543718015e-06
0.4747475,1.976242526985554e-06
0.4848485,2.374001798591838e-06
0.4949495,2.833793639240461e-06
0.5050505,3.361308550725395e-06
0.5151515,3.962067900755313e-06
0.5252525,4.641350539753966e-06
0.5353535,5.404144411815681e-06
0.5454545,6.255126046297487e-06
0.5555556,7.198667531836727e-06
0.5656566,8.238867723310378e-06
0.5757576,9.379602430830789e-06
0.5858586,1.06245873736554e-05
0.5959596,1.197744770604688e-05
0.6060605999999999,1.344178871721016e-05
0.6161616,1.502126356527475e-05
0.6262626,1.671963531598286e-05
0.6363636,1.85408318731261e-05
0.6464645999999999,2.048899345599319e-05
0.6565657,2.256851303800483e-05
0.6666666999999999,2.478407062050408e-05
0.6767677,2.714066242906518e-05
0.6868687,2.96436261556179e-05
0.6969697,3.229866329458304e-05
0.7070707000000001,3.511185948891774e-05
0.7171717,3.808970365059326e-05
0.7272727,4.123910647301438e-05
0.7373737,4.456741882237364e-05
0.7474747,4.808245038514007e-05
0.7575758,5.179248885939e-05
0.7676768,5.570631990570329e-05
0.7777778,5.98332480151093e-05
0.7878788,6.418311840336534e-05
0.7979798,6.876633999931235e-05
0.8080808,7.359390955733385e-05
0.8181818,7.867743688767299e-05
0.8282828,8.402917116158957e-05
0.8383838,8.96620282093972e-05
0.8484848,9.558961868673841e-05
0.8585859,0.0001018262769368264
0.8686869,0.0001083870903222348
0.8787879,0.0001152879287380242
0.8888889,0.0001225454739470495
0.8989899,0.0001301772482969962
0.9090909,0.0001382016422855309
0.9191919,0.0001466379403338791
0.9292929,0.0001555063440088267
0.9393939,0.000164827991797809
0.9494949,0.0001746249743909758
0.959596,0.0001849203442577617
0.969697,0.0001957381181247321
0.9797979999999999,0.0002071032707679696
0.989899,0.0002190417183307442
1,0.000231580289170634
