OP("/PM2" "gds") X,OP("/PM2" "gds") Y
0,1.879219801617577e-06
0.01010101,1.539961081516194e-06
0.02020202,1.255201580373095e-06
0.03030303,1.017784031298658e-06
0.04040404,8.210963564419388e-07
0.05050505,6.591353530986237e-07
0.06060606,5.265376571052068e-07
0.07070707,4.18580648944001e-07
0.08080808,3.311586652864176e-07
0.09090909,2.607413228558867e-07
0.1010101,2.043209403299708e-07
0.1111111,1.593552073132862e-07
0.1212121,1.23709805812421e-07
0.1313131,9.560407439543936e-08
0.1414141,7.35613648838816e-08
0.1515152,5.636467085284184e-08
0.1616162,4.301744840909478e-08
0.1717172,3.270923598771662e-08
0.1818182,2.47855960972051e-08
0.1919192,1.872193508884135e-08
0.2020202,1.410082482646202e-08
0.2121212,1.059250766287733e-08
0.2222222,7.938298638028833e-09
0.2323232,5.936609517976159e-09
0.2424242,4.431318378112033e-09
0.2525253,3.302205923425002e-09
0.2626263,2.457182280465327e-09
0.2727273,1.826038375617418e-09
0.2828283,1.35547405081945e-09
0.2929293,1.00517888243107e-09
0.3030303,7.44768781538054e-10
0.3131313,5.514095097950712e-10
0.3232323,4.079853839569178e-10
0.3333333,3.016964073790693e-10
0.3434343,2.229891571617846e-10
0.3535354,1.647457101568958e-10
0.3636364,1.216707566223762e-10
0.3737374,8.983006414425946e-11
0.3838384,6.630395240350806e-11
0.3939394,4.892779116670629e-11
0.4040404,3.609810169238094e-11
0.4141414,2.662795659915518e-11
0.4242424,1.963932401601658e-11
0.4343434,1.448303236188463e-11
0.4444444,1.067934310442026e-11
0.4545455,7.873872381586091e-12
0.4646465,5.804927268149141e-12
0.4747475,4.279319892836419e-12
0.4848485,3.154471187946759e-12
0.4949495,2.325176388392338e-12
0.5050505,1.71382288421583e-12
0.5151515,1.263162976976025e-12
0.5252525,9.309762372707621e-13
0.5353535,6.861286781567293e-13
0.5454545,5.056640091907221e-13
0.5555556,3.726571818041927e-13
0.5656566,2.746307745080974e-13
0.5757576,2.023868345034197e-13
0.5858586,1.491453109014907e-13
0.5959596,1.099086940077606e-13
0.6060605999999999,8.099352150150789e-14
0.6161616,5.968495943214312e-14
0.6262626,4.398214659480844e-14
0.6363636,3.241046613029896e-14
0.6464645999999999,2.388316318934813e-14
0.6565657,1.759934286702799e-14
0.6666666999999999,1.296878747283389e-14
0.6767677,9.556543649524381e-15
0.6868687,7.042082043590491e-15
0.6969697,5.189198061764469e-15
0.7070707000000001,3.823829318804855e-15
0.7171717,2.817707868760732e-15
0.7272727,2.07631268119899e-15
0.7373737,1.529991327882052e-15
0.7474747,1.127417274875455e-15
0.7575758,8.307684102717706e-16
0.7676768,6.121740237036179e-16
0.7777778,4.510965503865988e-16
0.7878788,3.324021658261756e-16
0.7979798,2.44939006544897e-16
0.8080808,1.804894661616357e-16
0.8181818,1.329981494205444e-16
0.8282828,9.800295915905394e-17
0.8383838,7.221587115993755e-17
0.8484848,5.321401308031082e-17
0.8585859,3.921202553289352e-17
0.8686869,2.889431891241793e-17
0.8787879,2.129146665809591e-17
0.8888889,1.568912188506363e-17
0.8989899,1.156090000611056e-17
0.9090909,8.518921366960808e-18
0.9191919,6.277367249158092e-18
0.9292929,4.625625122370941e-18
0.9393939,3.408500024326701e-18
0.9494949,2.511632802755466e-18
0.959596,1.850755170865755e-18
0.969697,1.363772029410015e-18
0.9797979999999999,1.004927131878938e-18
0.989899,7.405039027595354e-19
1,5.456574897695238e-19
