OP("/PM2" "gm") X,OP("/PM2" "gm") Y
0,9.511076623892884e-05
0.01010101,7.880757408497588e-05
0.02020202,6.48648712643406e-05
0.03030303,5.306431264958261e-05
0.04040404,4.316940791300384e-05
0.05050505,3.494013475811593e-05
0.06060606,2.814466838431917e-05
0.07070707,2.256771833478409e-05
0.08080808,1.801551946567274e-05
0.09090909,1.431793748910688e-05
0.1010101,1.132838160208766e-05
0.1111111,8.922273270617037e-06
0.1212121,6.994741508069144e-06
0.1313131,5.458057984436025e-06
0.1414141,4.239146205394329e-06
0.1515152,3.277339987265572e-06
0.1616162,2.52244994608027e-06
0.1717172,1.933126871831975e-06
0.1818182,1.475479639069509e-06
0.1919192,1.121899633021269e-06
0.2020202,8.500509783604644e-07
0.2121212,6.419970063409898e-07
0.2222222,4.834432610299692e-07
0.2323232,3.630840161902029e-07
0.2424242,2.720428008767864e-07
0.2525253,2.033987175185841e-07
0.2626263,1.51790413058836e-07
0.2727273,1.130892394158393e-07
0.2828283,8.41329044921008e-08
0.2929293,6.251098539382585e-08
0.3030303,4.639408315505683e-08
0.3131313,3.439907667538203e-08
0.3232323,2.548378131319608e-08
0.3333333,1.886523579716524e-08
0.3434343,1.395675131876537e-08
0.3535354,1.03197054143209e-08
0.3636364,7.626819975324938e-09
0.3737374,5.634314708832211e-09
0.3838384,4.160874219820625e-09
0.3939394,3.071815809913418e-09
0.4040404,2.267207250756008e-09
0.4141414,1.672971814992952e-09
0.4242424,1.234244217313858e-09
0.4343434,9.104172869559595e-10
0.4444444,6.714551684981818e-10
0.4545455,4.951530752456865e-10
0.4646465,3.651030459657212e-10
0.4747475,2.691853840754917e-10
0.4848485,1.984509379015734e-10
0.4949495,1.462936009570391e-10
0.5050505,1.078380818115316e-10
0.5151515,7.948720048155216e-11
0.5252525,5.858730804350706e-11
0.5353535,4.318111180935867e-11
0.5454545,3.182513829301493e-11
0.5555556,2.345497262510167e-11
0.5656566,1.728579614487673e-11
0.5757576,1.273899324081802e-11
0.5858586,9.388005300142981e-12
0.5959596,6.91839102369149e-12
0.6060605999999999,5.098370036430595e-12
0.6161616,3.757100862288581e-12
0.6262626,2.768664163393754e-12
0.6363636,2.040253846793827e-12
0.6464645999999999,1.503471248317069e-12
0.6565657,1.107907418022799e-12
0.6666666999999999,8.164124128481975e-13
0.6767677,6.016083113482639e-13
0.6868687,4.433190809380025e-13
0.6969697,3.266762941481041e-13
0.7070707000000001,2.40723014836154e-13
0.7171717,1.773848705460261e-13
0.7272727,1.30711756507534e-13
0.7373737,9.63190001081482e-14
0.7474747,7.097552723121001e-14
0.7575758,5.230036606006439e-14
0.7676768,3.853899176533123e-14
0.7777778,2.839851009871142e-14
0.7878788,2.092620176297924e-14
0.7979798,1.542002069098926e-14
0.8080808,1.136263989817672e-14
0.8181818,8.372849905078756e-15
0.8282828,6.16974445037853e-15
0.8383838,4.546329210546047e-15
0.8484848,3.350074335233118e-15
0.8585859,2.468583858484128e-15
0.8686869,1.819035695720372e-15
0.8787879,1.340400151876421e-15
0.8888889,9.877058776604202e-16
0.8989899,7.278145641033117e-16
0.9090909,5.36307399261081e-16
0.9191919,3.951907648444706e-16
0.9292929,2.912056141447068e-16
0.9393939,2.14581691250506e-16
0.9494949,1.581195441321953e-16
0.959596,1.165140817523913e-16
0.969697,8.585611985814113e-17
0.9797979999999999,6.326508244883417e-17
0.989899,4.661834833020201e-17
1,3.435181374920077e-17
