OP("/NM2" "ids") X,OP("/NM2" "ids") Y
0,2.405521624670259e-11
0.01010101,3.210165901306733e-11
0.02020202,4.283824685059461e-11
0.03030303,5.716362162473723e-11
0.04040404,7.627621249919145e-11
0.05050505,1.017740272150496e-10
0.06060606,1.357875438159719e-10
0.07070707,1.811566189568461e-10
0.08080808,2.416658950463515e-10
0.09090909,3.223579014299264e-10
0.1010101,4.299492637663528e-10
0.1111111,5.733836271397317e-10
0.1212121,7.645656653806229e-10
0.1313131,1.019334667146087e-09
0.1414141,1.358754649656294e-09
0.1515152,1.810822010638914e-09
0.1616162,2.41272296790052e-09
0.1717172,3.213813418165723e-09
0.1818182,4.279545781963387e-09
0.1919192,5.69663379720438e-09
0.2020202,7.579830518186795e-09
0.2121212,1.008080092660572e-08
0.2222222,1.339970296587342e-08
0.2323232,1.78002541270053e-08
0.2424242,2.362925952752195e-08
0.2525253,3.134181572084988e-08
0.2626263,4.15336848922242e-08
0.2727273,5.498265695804399e-08
0.2828283,7.270107926637933e-08
0.2929293,9.600212745546612e-08
0.3030303,1.265828037474046e-07
0.3131313,1.66627062894576e-07
0.3232323,2.18932860820377e-07
0.3333333,2.870672783442903e-07
0.3434343,3.755541833825839e-07
0.3535354,4.900991696486278e-07
0.3636364,6.378567847193907e-07
0.3737374,8.277453975448039e-07
0.3838384,1.070815521762396e-06
0.3939394,1.380678023254371e-06
0.4040404,1.77399926723502e-06
0.4141414,2.271070487218362e-06
0.4242424,2.896457647737999e-06
0.4343434,3.679734493915751e-06
0.4444444,4.656293616927091e-06
0.4545455,5.868216499582585e-06
0.4646465,7.365162629911961e-06
0.4747475,9.205210485363664e-06
0.4848485,1.14555525329983e-05
0.4949495,1.419291814846701e-05
0.5050505,1.750358048991493e-05
0.5151515,2.148280440429855e-05
0.5252525,2.623361911519385e-05
0.5353535,3.18648541296868e-05
0.5454545,3.848845571564035e-05
0.5555556,4.621619406269889e-05
0.5656566,5.515596233376438e-05
0.5757576,6.540794076515536e-05
0.5858586,7.706093656739904e-05
0.5959596,9.018920470489578e-05
0.6060605999999999,0.0001048500056504073
0.6161616,0.0001210820728857448
0.6262626,0.0001389050608347574
0.6363636,0.0001583199411637916
0.6464645999999999,0.0001793102281668626
0.6565657,0.0002018438532379313
0.6666666999999999,0.0002258754785205347
0.6767677,0.0002513490388331368
0.6868687,0.0002782003226625425
0.6969697,0.0003063594391398465
0.7070707000000001,0.0003357530602697473
0.7171717,0.0003663063695625155
0.7272727,0.0003979446850327398
0.7373737,0.0004305947538377465
0.7474747,0.0004641857369504517
0.7575758,0.0004986499157382388
0.7676768,0.0005339231593845451
0.7777778,0.000569945194241495
0.7878788,0.0006066597149112546
0.7979798,0.0006440143733967967
0.8080808,0.0006819606780514828
0.8181818,0.0007204538290311517
0.8282828,0.0007594525120129418
0.8383838,0.0007989186673971575
0.8484848,0.0008388172482124547
0.8585859,0.0008791159765584862
0.8686869,0.0009197851056358983
0.8787879,0.0009607971921836915
0.8888889,0.001002126882401909
0.8989899,0.001043750713109074
0.9090909,0.001085646928896895
0.9191919,0.001127795315332581
0.9292929,0.001170177047764112
0.9393939,0.001212774554955858
0.9494949,0.001255571396581306
0.959596,0.001298552153492627
0.969697,0.001341702329648054
0.9797979999999999,0.001385008264586782
0.989899,0.001428457055382215
1,0.001472036487065941
