OP("/PM1" "ids") X,OP("/PM1" "ids") Y
0,-4.762735436650767e-06
0.01010101,-3.975639386200181e-06
0.02020202,-3.297623876232883e-06
0.03030303,-2.71856187815415e-06
0.04040404,-2.228125763610672e-06
0.05050505,-1.81606589958669e-06
0.06060606,-1.472468338922616e-06
0.07070707,-1.187973419630336e-06
0.08080808,-9.539427211367077e-07
0.09090909,-7.625686242069681e-07
0.1010101,-6.069274162639165e-07
0.1111111,-4.809824052280986e-07
0.1212121,-3.795471856613713e-07
0.1313131,-2.982208374220764e-07
0.1414141,-2.3330662820593e-07
0.1515152,-1.817242068166661e-07
0.1616162,-1.409229024118536e-07
0.1717172,-1.088011578273474e-07
0.1818182,-8.363477591768175e-08
0.1919192,-6.401482676965907e-08
0.2020202,-4.879485001681512e-08
0.2121212,-3.704634264773676e-08
0.2222222,-2.802131208218308e-08
0.2323232,-2.112073269587589e-08
0.2424242,-1.586792650011165e-08
0.2525253,-1.188609395304928e-08
0.2626263,-8.879394344687666e-09
0.2727273,-6.617099131646642e-09
0.2828283,-4.920420492183104e-09
0.2929293,-3.6516649240508e-09
0.3030303,-2.70539219005182e-09
0.3131313,-2.001284014342494e-09
0.3232323,-1.478450802937683e-09
0.3333333,-1.090930707576057e-09
0.3434343,-8.041635635103435e-10
0.3535354,-5.922514265292154e-10
0.3636364,-4.358461345066708e-10
0.3737374,-3.205312454911457e-10
0.3838384,-2.355899809855321e-10
0.3939394,-1.730719739134324e-10
0.4040404,-1.270895792696771e-10
0.4141414,-9.328939242294142e-11
0.4242424,-6.845672623379928e-11
0.4343434,-5.02204862197242e-11
0.4444444,-3.683353221738801e-11
0.4545455,-2.700958637436668e-11
0.4646465,-1.98023645242892e-11
0.4747475,-1.451614941424135e-11
0.4848485,-1.063972199526621e-11
0.4949495,-7.797610147726266e-12
0.5050505,-5.714154009441862e-12
0.5151515,-4.187042661830343e-12
0.5252525,-3.067841085601235e-12
0.5353535,-2.24767055815751e-12
0.5454545,-1.646684741802893e-12
0.5555556,-1.206339170490711e-12
0.5656566,-8.83715083978512e-13
0.5757576,-6.473531923069278e-13
0.5858586,-4.741966635722275e-13
0.5959596,-3.473486130358326e-13
0.6060605999999999,-2.544274564526811e-13
0.6161616,-1.863609703892346e-13
0.6262626,-1.36502183426166e-13
0.6363636,-9.998130385748766e-14
0.6464645999999999,-7.323072604777063e-14
0.6565657,-5.363692851977596e-14
0.6666666999999999,-3.928538838877677e-14
0.6767677,-2.877367166384152e-14
0.6868687,-2.107448732002891e-14
0.6969697,-1.543535475158063e-14
0.7070707000000001,-1.130509933555771e-14
0.7171717,-8.280004718357855e-15
0.7272727,-6.064366578437316e-15
0.7373737,-4.441597091119123e-15
0.7474747,-3.253058645894398e-15
0.7575758,-2.382559666284642e-15
0.7676768,-1.744998102914267e-15
0.7777778,-1.278043151662351e-15
0.7878788,-9.360424599914117e-16
0.7979798,-6.855594637398672e-16
0.8080808,-5.02104745263565e-16
0.8181818,-3.677419639459632e-16
0.8282828,-2.693343677008588e-16
0.8383838,-1.972604933719936e-16
0.8484848,-1.444735183370049e-16
0.8585859,-1.058123126003583e-16
0.8686869,-7.749684316555958e-17
0.8787879,-5.67586017113923e-17
0.8888889,-4.156992612304709e-17
0.8989899,-3.044575320285466e-17
0.9090909,-2.229842102201486e-17
0.9191919,-1.633132533266384e-17
0.9292929,-1.196103303519751e-17
0.9393939,-8.760237860610506e-18
0.9494949,-6.415980915011524e-18
0.959596,-4.699051351910343e-18
0.969697,-3.441575385971471e-18
0.9797979999999999,-2.520602457770265e-18
0.989899,-1.846083753438519e-18
1,-1.352067661351824e-18
